url,local_path,status,content_type,bytes,is_document,url_lang,content_lang,content_lang_conf,lang,lang_mismatch,title
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c280-ogrencileri-bilgilendirme,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c280-ogrencileri-bilgilendirme.html,200,text/html; charset=utf-8,16417,False,tr,tr,0.55,tr,False,C280 Öğrencileri Bilgilendirme | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c290-program-bildirimidegisikligi-cift-anadal-ve-yan-dal-islemleri,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c290-program-bildirimidegisikligi-cift-anadal-ve-yan-dal-islemleri.html,200,text/html; charset=utf-8,15590,False,tr,tr,0.55,tr,False,"C290 Program Bildirimi/Değişikliği, Çift Anadal ve Yan Dal İşlemleri | Yönerge"
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c330-saglik-hizmetlerini-saglama,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c330-saglik-hizmetlerini-saglama.html,200,text/html; charset=utf-8,22097,False,tr,tr,0.55,tr,False,C330 Sağlık Hizmetlerini Sağlama | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c420-degisim-programlarini-koordine-etme,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c420-degisim-programlarini-koordine-etme.html,200,text/html; charset=utf-8,24424,False,tr,tr,0.55,tr,False,C420 Değişim Programlarını Koordine Etme | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c430-uluslararasi-pazarlama-ve-tanitimi-koordine-etme,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c430-uluslararasi-pazarlama-ve-tanitimi-koordine-etme.html,200,text/html; charset=utf-8,17589,False,tr,tr,0.55,tr,False,C430 Uluslararası  Pazarlama ve Tanıtımı Koordine Etme | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c510-akademik-program-acilmasi-revizyonu,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c510-akademik-program-acilmasi-revizyonu.html,200,text/html; charset=utf-8,17864,False,tr,tr,0.55,tr,False,C510 Akademik Program Açılması Revizyonu | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c520-ders-katologunu-hazirlama,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c520-ders-katologunu-hazirlama.html,200,text/html; charset=utf-8,16965,False,tr,tr,0.55,tr,False,C520 Ders Katoloğunu Hazırlama | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c530-ders-ve-sinav-programlarini-yonetme,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c530-ders-ve-sinav-programlarini-yonetme.html,200,text/html; charset=utf-8,16804,False,tr,tr,0.55,tr,False,C530 Ders ve Sınav Programlarını Yönetme | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c610-mekan-tahsislerini-yonetme,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c610-mekan-tahsislerini-yonetme.html,200,text/html; charset=utf-8,16401,False,tr,tr,0.55,tr,False,C610 Mekan  Tahsislerini Yönetme | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c620-ogrenci-etkinlik-ve-ogrenci-konseyi-koordine-etme,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c620-ogrenci-etkinlik-ve-ogrenci-konseyi-koordine-etme.html,200,text/html; charset=utf-8,20410,False,tr,tr,0.55,tr,False,C620 Öğrenci Etkinlik ve Öğrenci Konseyi Koordine Etme | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c630-spor-etkinliklerini-yonetme,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c630-spor-etkinliklerini-yonetme.html,200,text/html; charset=utf-8,26300,False,tr,tr,0.55,tr,False,C630 Spor Etkinliklerini Yönetme | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c640-ders-disi-basari-tesvik,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c640-ders-disi-basari-tesvik.html,200,text/html; charset=utf-8,16654,False,tr,tr,0.55,tr,False,C640 Ders Dışı Başarı Teşvik | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c710-kariyer-gelistirmeyi-koordine-etme,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c710-kariyer-gelistirmeyi-koordine-etme.html,200,text/html; charset=utf-8,26110,False,tr,tr,0.55,tr,False,C710 Kariyer Geliştirmeyi Koordine Etme | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c720-mezunlarla-iliskileri-koordine-etme,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c720-mezunlarla-iliskileri-koordine-etme.html,200,text/html; charset=utf-8,19015,False,tr,tr,0.55,tr,False,C720 Mezunlarla İlişkileri Koordine Etme | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c810-bilgi-merkezi-yonetimi,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c810-bilgi-merkezi-yonetimi.html,200,text/html; charset=utf-8,15577,False,tr,tr,0.55,tr,False,C810 Bilgi Merkezi Yönetimi | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c820-koleksiyon-olusturma-ve-organize-etme,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c820-koleksiyon-olusturma-ve-organize-etme.html,200,text/html; charset=utf-8,32318,False,tr,tr,0.55,tr,False,C820 Koleksiyon Oluşturma ve Organize Etme | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c830-bina-ve-koleksiyon-isletimi,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c830-bina-ve-koleksiyon-isletimi.html,200,text/html; charset=utf-8,18589,False,tr,tr,0.55,tr,False,C830 Bina ve Koleksiyon İşletimi | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c840-hizmetlerin-yurutulmesi-ve-hizmetlerden-yararlanma,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c840-hizmetlerin-yurutulmesi-ve-hizmetlerden-yararlanma.html,200,text/html; charset=utf-8,26790,False,tr,tr,0.55,tr,False,C840 Hizmetlerin Yürütülmesi ve Hizmetlerden Yararlanma | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c860-universite-tarihi-arsivi,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c860-universite-tarihi-arsivi.html,200,text/html; charset=utf-8,17133,False,tr,tr,0.55,tr,False,C860 Üniversite Tarihi Arşivi | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c870-universite-arsivi-belge-yonetimi,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c870-universite-arsivi-belge-yonetimi.html,200,text/html; charset=utf-8,17881,False,tr,tr,0.55,tr,False,"C870 Üniversite Arşivi, Belge Yönetimi | Yönerge"
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c910-barinma-hizmetlerini-yonetme,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c910-barinma-hizmetlerini-yonetme.html,200,text/html; charset=utf-8,16613,False,tr,tr,0.55,tr,False,C910 Barınma Hizmetlerini Yönetme | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c920-temizlik-hizmetlerini-saglama,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c920-temizlik-hizmetlerini-saglama.html,200,text/html; charset=utf-8,18684,False,tr,tr,0.55,tr,False,C920 Temizlik Hizmetlerini Sağlama | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c930-ulasim-hizmetlerini-saglama,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c930-ulasim-hizmetlerini-saglama.html,200,text/html; charset=utf-8,17529,False,tr,tr,0.55,tr,False,C930 Ulaşım Hizmetlerini Sağlama | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c940-guvenlik-hizmetlerini-yonetme,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c940-guvenlik-hizmetlerini-yonetme.html,200,text/html; charset=utf-8,25218,False,tr,tr,0.55,tr,False,C940 Güvenlik Hizmetlerini Yönetme | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c950-haberlesme-hizmetlerini-saglama,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c950-haberlesme-hizmetlerini-saglama.html,200,text/html; charset=utf-8,16005,False,tr,tr,0.55,tr,False,C950 Haberleşme Hizmetlerini Sağlama | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c960-yiyecek-hizmetlerini-saglama,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c960-yiyecek-hizmetlerini-saglama.html,200,text/html; charset=utf-8,16399,False,tr,tr,0.55,tr,False,C960 Yiyecek Hizmetlerini Sağlama | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/birimler?u=Student+Resources%28%C3%96K%29,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/birimler.html,200,text/html; charset=utf-8,26322,False,tr,tr,0.55,tr,False,Birimler | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/birimler?u=ser,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/birimler.html,200,text/html; charset=utf-8,15073,False,tr,en,0.55,en,True,Birimler | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/birimler?u=uo,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/birimler.html,200,text/html; charset=utf-8,16856,False,tr,tr,0.55,tr,False,Birimler | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/birimler?u=kimi,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/birimler.html,200,text/html; charset=utf-8,18340,False,tr,tr,0.55,tr,False,Birimler | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/birimler?u=bm,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/birimler.html,200,text/html; charset=utf-8,18660,False,tr,tr,0.55,tr,False,Birimler | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/s110-bilgi-teknolojileri-kaynaklarini-planlama,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/s110-bilgi-teknolojileri-kaynaklarini-planlama.html,200,text/html; charset=utf-8,16340,False,tr,tr,0.55,tr,False,S110 Bilgi Teknolojileri Kaynaklarını Planlama | Yönerge
