url,local_path,status,content_type,sha256,bytes,is_document
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c630-spor-etkinliklerini-yonetme,mysu_dump2\surecharitasi/tr/surec/c630-spor-etkinliklerini-yonetme.html,200,text/html; charset=utf-8,,26300,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c640-ders-disi-basari-tesvik,mysu_dump2\surecharitasi/tr/surec/c640-ders-disi-basari-tesvik.html,200,text/html; charset=utf-8,,16654,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c710-kariyer-gelistirmeyi-koordine-etme,mysu_dump2\surecharitasi/tr/surec/c710-kariyer-gelistirmeyi-koordine-etme.html,200,text/html; charset=utf-8,,26110,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c720-mezunlarla-iliskileri-koordine-etme,mysu_dump2\surecharitasi/tr/surec/c720-mezunlarla-iliskileri-koordine-etme.html,200,text/html; charset=utf-8,,19015,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c810-bilgi-merkezi-yonetimi,mysu_dump2\surecharitasi/tr/surec/c810-bilgi-merkezi-yonetimi.html,200,text/html; charset=utf-8,,15577,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c820-koleksiyon-olusturma-ve-organize-etme,mysu_dump2\surecharitasi/tr/surec/c820-koleksiyon-olusturma-ve-organize-etme.html,200,text/html; charset=utf-8,,32318,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c830-bina-ve-koleksiyon-isletimi,mysu_dump2\surecharitasi/tr/surec/c830-bina-ve-koleksiyon-isletimi.html,200,text/html; charset=utf-8,,18589,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c840-hizmetlerin-yurutulmesi-ve-hizmetlerden-yararlanma,mysu_dump2\surecharitasi/tr/surec/c840-hizmetlerin-yurutulmesi-ve-hizmetlerden-yararlanma.html,200,text/html; charset=utf-8,,26790,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c860-universite-tarihi-arsivi,mysu_dump2\surecharitasi/tr/surec/c860-universite-tarihi-arsivi.html,200,text/html; charset=utf-8,,17133,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c870-universite-arsivi-belge-yonetimi,mysu_dump2\surecharitasi/tr/surec/c870-universite-arsivi-belge-yonetimi.html,200,text/html; charset=utf-8,,17881,False
